Transaction_ID,Date,Account,Amount,Category
T001,2026-08-01,A001,1200,Shopping
T002,2026-08-01,A002,55000,Transfer
T003,2026-08-02,A003,2300,Food
T004,2026-08-02,A001,7000,Shopping
T005,2026-08-03,A004,75000,Transfer
T006,2026-08-03,A001,4500,Food
T007,2026-08-04,A005,900,Travel
T008,2026-08-04,A001,6000,Shopping
T009,2026-08-05,A002,85000,Transfer
T010,2026-08-05,A006,1500,Food
T011,2026-08-06,A001,5200,Shopping
T012,2026-08-06,A002,3000,Food
T013,2026-08-07,A001,65000,Transfer
T014,2026-08-07,A007,2200,Travel
T015,2026-08-08,A001,8000,Shopping
T016,2026-08-08,A008,1100,Food
T017,2026-08-09,A001,9500,Shopping
T018,2026-08-09,A002,72000,Transfer
T019,2026-08-10,A009,1800,Travel
T020,2026-08-10,A001,5800,Food
